CustomerID,Age,Gender,Region,Occupation,NetworkType,ServiceProvider,PlanType,PlanCost,ContractLength,CallMinutesPerMonth,DataUsagePerMonth(GB),TextMessagesPerMonth,InternationalCallMinutes,ChurnStatus,CustomerSatisfaction,ComplaintsLodged,PromotionsAvailed,MonthlyCharges,TotalRevenue,PaymentMethod,DeviceType,NumberOfSIMs,RoamingStatus,LoyaltyProgramParticipation,ReferralProgramParticipation
39,46,Female,Rural,Housewife,4G,Vodafone,Prepaid,1051,12,1264,41.42,438,36,Yes,3,Yes,No,1255,35653,Net Banking,Smartphone,2,No,No,No
40,28,Female,Urban,Student,4G,Airtel,Postpaid,1977,6,2931,15.96,8,64,No,3,Yes,Yes,1121,44688,UPI,Smartphone,2,No,No,No
41,23,Female,Urban,Working Professional,5G,Airtel,Postpaid,1447,24,1835,15.9,263,79,No,3,Yes,Yes,2200,95462,Debit Card,Smartphone,1,No,Yes,No
42,63,Female,Rural,Retired,4G,Vodafone,Prepaid,904,24,600,44.21,346,60,No,5,No,No,109,3524,UPI,Tablet,3,Yes,Yes,No
43,18,Male,Urban,Unemployed,5G,Airtel,Postpaid,1973,24,2934,35.75,196,21,No,3,No,No,2276,60795,Debit Card,Basic Phone,1,Yes,Yes,Yes
44,46,Male,Rural,Unemployed,4G,Vodafone,Postpaid,1823,0,2981,8.65,142,49,Yes,3,Yes,No,2516,87593,UPI,Smartphone,3,Yes,No,Yes
45,22,Female,Urban,Working Professional,5G,Vodafone,Prepaid,1162,24,2689,14.1,484,78,No,3,Yes,No,3971,38373,Debit Card,Smartphone,2,Yes,No,Yes
46,69,Female,Rural,Student,4G,Airtel,Postpaid,675,0,820,43.25,79,10,No,5,Yes,Yes,3358,11645,Net Banking,Basic Phone,2,Yes,No,Yes
47,31,Male,Urban,Working Professional,5G,Vodafone,Postpaid,640,6,1144,4.78,200,2,No,4,No,Yes,1376,21884,UPI,Basic Phone,2,No,Yes,Yes
48,51,Male,Rural,Working Professional,4G,Jio,Prepaid,615,0,625,45.95,24,25,No,4,No,No,216,41790,UPI,Smartphone,1,Yes,No,Yes
49,50,Male,Rural,Unemployed,4G,Jio,Prepaid,854,6,2808,38.62,179,46,Yes,2,Yes,No,1897,82288,Credit Card,Smartphone,1,No,Yes,No
50,20,Female,Urban,Working Professional,4G,Jio,Postpaid,681,6,1129,38.63,401,62,Yes,1,No,Yes,1409,31400,Credit Card,Basic Phone,3,Yes,No,Yes
51,26,Male,Urban,Unemployed,5G,Jio,Prepaid,1867,0,837,24.1,80,97,No,3,No,Yes,3499,46555,Debit Card,Basic Phone,2,No,No,Yes
52,63,Male,Rural,Working Professional,4G,Jio,Prepaid,1283,12,1443,25.65,476,88,No,5,No,No,3495,46622,Net Banking,Smartphone,2,Yes,No,No
53,18,Male,Urban,Working Professional,5G,Airtel,Prepaid,1363,12,1372,37.46,192,23,No,3,No,Yes,1583,45746,Net Banking,Tablet,2,Yes,No,Yes
54,25,Female,Urban,Unemployed,4G,Jio,Prepaid,220,6,2326,36.05,444,27,Yes,1,Yes,Yes,1941,42610,Net Banking,Tablet,2,No,No,No
55,27,Female,Urban,Working Professional,5G,Jio,Prepaid,125,6,2071,8.51,211,81,No,4,No,Yes,1382,4325,UPI,Smartphone,3,No,Yes,No
56,32,Male,Urban,Student,4G,Vodafone,Postpaid,963,12,1616,2.39,337,87,Yes,3,Yes,Yes,4950,50922,Net Banking,Smartphone,2,No,Yes,Yes
57,44,Female,Rural,Unemployed,4G,Jio,Postpaid,1646,0,686,7.0,305,86,No,4,Yes,Yes,4862,34124,UPI,Tablet,3,No,No,Yes
58,20,Female,Urban,Retired,4G,Vodafone,Prepaid,164,6,2026,7.47,494,27,No,3,Yes,No,1225,65241,UPI,Tablet,1,Yes,No,Yes
59,70,Female,Rural,Working Professional,4G,Jio,Prepaid,1975,24,2235,14.88,240,79,No,4,No,Yes,1195,43505,UPI,Smartphone,3,No,Yes,Yes
60,41,Male,Rural,Retired,4G,Airtel,Prepaid,1163,6,1636,41.48,26,55,No,5,No,Yes,1922,33643,Net Banking,Smartphone,2,Yes,No,No
61,50,Female,Rural,Housewife,5G,Airtel,Postpaid,1247,12,2766,7.94,181,15,No,4,No,No,3981,42124,Credit Card,Basic Phone,2,No,Yes,No
62,23,Female,Urban,Student,5G,Vodafone,Postpaid,453,0,637,8.75,124,74,No,4,No,Yes,2889,70429,Debit Card,Tablet,3,Yes,No,Yes
63,58,Female,Rural,Housewife,4G,Airtel,Postpaid,1387,24,1590,45.81,451,35,No,4,Yes,Yes,3127,92163,Credit Card,Basic Phone,1,Yes,Yes,Yes
64,57,Male,Rural,Working Professional,4G,Airtel,Prepaid,829,24,352,33.59,266,67,No,4,Yes,Yes,1436,74936,Credit Card,Basic Phone,2,No,No,Yes
65,49,Female,Rural,Student,4G,Vodafone,Prepaid,169,0,2866,28.7,44,16,Yes,1,Yes,Yes,2383,8001,Net Banking,Tablet,1,Yes,No,Yes
66,27,Female,Urban,Housewife,5G,Jio,Prepaid,374,0,2264,10.79,254,3,No,5,Yes,Yes,4646,76182,Debit Card,Basic Phone,3,No,Yes,No
67,49,Female,Rural,Unemployed,4G,Jio,Prepaid,1308,0,2371,17.29,186,96,No,4,No,No,1570,37670,Credit Card,Tablet,1,Yes,Yes,Yes
68,27,Male,Urban,Retired,5G,Vodafone,Postpaid,686,12,2305,11.17,279,27,No,5,Yes,No,1625,11584,Debit Card,Tablet,1,Yes,No,Yes
69,31,Female,Urban,Working Professional,5G,Airtel,Prepaid,905,6,1943,1.57,77,50,No,5,Yes,No,2553,95825,UPI,Tablet,2,Yes,Yes,No
70,65,Female,Rural,Housewife,4G,Vodafone,Postpaid,1364,12,2820,22.19,318,68,No,3,No,No,3306,9001,UPI,Tablet,3,No,Yes,Yes
71,22,Male,Urban,Working Professional,4G,Jio,Postpaid,1262,24,600,32.91,283,58,No,4,No,Yes,4366,57676,Debit Card,Basic Phone,3,No,No,Yes
72,23,Male,Urban,Working Professional,5G,Jio,Postpaid,1036,0,453,35.22,378,68,No,3,No,No,4808,82057,UPI,Smartphone,1,Yes,Yes,No
73,49,Male,Rural,Working Professional,4G,Vodafone,Postpaid,620,24,2140,1.7,24,52,No,3,Yes,Yes,3525,60757,Net Banking,Basic Phone,2,No,No,No
74,48,Male,Rural,Student,4G,Airtel,Prepaid,1308,24,2016,49.03,365,47,No,3,No,No,2176,21166,Net Banking,Basic Phone,2,Yes,Yes,Yes
75,67,Female,Rural,Housewife,4G,Airtel,Postpaid,1455,6,2516,18.41,396,30,No,3,Yes,No,4282,38951,UPI,Basic Phone,2,No,No,No
76,61,Male,Rural,Unemployed,4G,Vodafone,Postpaid,1345,6,1691,1.21,319,29,No,3,No,No,3345,93831,Credit Card,Tablet,3,No,No,No
77,66,Female,Rural,Student,5G,Vodafone,Prepaid,173,0,2134,5.27,340,8,Yes,2,Yes,No,4330,89502,UPI,Basic Phone,3,No,No,Yes
78,26,Female,Urban,Retired,4G,Airtel,Postpaid,1745,24,1665,7.65,174,27,No,3,No,No,566,70124,Debit Card,Tablet,3,No,No,No
79,27,Male,Urban,Unemployed,5G,Jio,Postpaid,304,12,2453,39.18,121,3,Yes,1,No,Yes,4840,2111,Credit Card,Basic Phone,3,No,No,Yes
80,40,Male,Rural,Student,4G,Airtel,Prepaid,1059,6,1031,12.05,145,2,No,4,No,No,1527,41718,Debit Card,Tablet,3,Yes,No,No
81,31,Female,Urban,Unemployed,4G,Vodafone,Prepaid,818,24,2970,10.22,22,84,No,3,Yes,No,528,2232,Credit Card,Smartphone,3,Yes,No,No
82,33,Female,Urban,Unemployed,4G,Vodafone,Prepaid,466,0,1383,47.97,194,1,No,5,No,No,4157,29425,Net Banking,Smartphone,2,Yes,Yes,No
83,25,Female,Urban,Unemployed,5G,Vodafone,Postpaid,416,12,1359,24.64,437,30,No,4,Yes,No,1188,5106,Debit Card,Smartphone,2,Yes,No,Yes
84,26,Male,Urban,Unemployed,5G,Vodafone,Postpaid,965,24,2054,29.81,238,62,Yes,2,Yes,No,236,19200,Debit Card,Smartphone,2,No,Yes,No
85,51,Female,Rural,Student,5G,Vodafone,Prepaid,856,0,2537,9.66,443,59,No,3,No,No,2935,27557,UPI,Smartphone,2,No,Yes,Yes
86,59,Male,Rural,Unemployed,4G,Jio,Prepaid,636,24,933,21.87,65,100,No,4,Yes,No,1262,73705,UPI,Basic Phone,1,No,No,No
87,20,Male,Urban,Unemployed,5G,Vodafone,Postpaid,1269,0,1078,30.87,401,64,No,4,No,Yes,3001,47650,UPI,Tablet,3,Yes,Yes,No
88,29,Female,Urban,Working Professional,5G,Vodafone,Prepaid,1473,6,875,12.15,99,2,No,5,Yes,No,2586,68859,Credit Card,Smartphone,1,No,No,No
89,20,Male,Urban,Working Professional,4G,Airtel,Postpaid,584,0,456,46.34,188,18,No,4,No,No,397,65991,UPI,Basic Phone,3,Yes,No,Yes
90,62,Female,Rural,Unemployed,4G,Vodafone,Prepaid,1604,24,1374,6.96,47,87,No,5,No,No,2802,54880,Debit Card,Tablet,1,Yes,No,No
91,22,Male,Urban,Working Professional,4G,Airtel,Postpaid,312,24,2993,10.79,249,64,No,4,No,Yes,2240,36122,Debit Card,Basic Phone,3,No,No,Yes
92,36,Male,Rural,Working Professional,4G,Jio,Postpaid,1610,6,2355,48.52,211,71,No,3,No,Yes,1204,72136,UPI,Tablet,2,No,No,No
93,20,Female,Urban,Student,4G,Airtel,Postpaid,471,12,2013,3.32,56,11,No,3,Yes,Yes,1421,66407,Credit Card,Basic Phone,1,No,Yes,No
94,32,Female,Urban,Working Professional,5G,Vodafone,Prepaid,1271,6,1606,46.11,461,63,No,3,Yes,Yes,2071,19962,UPI,Basic Phone,1,No,Yes,Yes
95,66,Male,Rural,Working Professional,4G,Airtel,Prepaid,1881,24,1061,16.69,339,83,No,5,No,No,4039,72106,Debit Card,Basic Phone,3,Yes,No,Yes
96,31,Male,Urban,Working Professional,5G,Vodafone,Postpaid,862,12,2580,23.53,220,75,No,3,Yes,No,809,53461,UPI,Smartphone,3,Yes,No,Yes
97,47,Male,Rural,Working Professional,4G,Airtel,Prepaid,1880,6,213,15.93,358,21,No,4,Yes,Yes,1074,2050,Net Banking,Smartphone,2,Yes,No,Yes
98,35,Female,Urban,Housewife,5G,Airtel,Postpaid,1956,24,1592,45.07,280,37,No,5,Yes,Yes,1656,72779,Debit Card,Smartphone,2,No,Yes,Yes
99,31,Male,Urban,Working Professional,5G,Airtel,Postpaid,1226,6,2852,2.39,491,48,No,5,Yes,Yes,632,71226,Net Banking,Tablet,1,No,Yes,Yes
100,23,Female,Urban,Retired,5G,Jio,Postpaid,138,12,514,42.01,228,5,No,3,Yes,Yes,1207,2375,UPI,Tablet,3,No,Yes,Yes
101,19,Male,Urban,Working Professional,5G,Jio,Prepaid,158,0,1853,38.01,9,58,Yes,2,No,No,3139,76745,Credit Card,Tablet,2,Yes,Yes,No
102,41,Female,Rural,Housewife,4G,Airtel,Postpaid,1924,6,2041,38.39,408,9,No,5,No,Yes,3635,26583,UPI,Tablet,3,No,Yes,Yes
103,46,Female,Rural,Unemployed,5G,Vodafone,Postpaid,927,6,2871,2.05,202,15,No,3,No,No,3320,11860,Credit Card,Basic Phone,2,Yes,Yes,Yes
104,43,Female,Rural,Unemployed,4G,Jio,Prepaid,1386,0,2991,14.33,199,82,No,3,No,Yes,4304,62544,Debit Card,Basic Phone,1,No,No,No
105,64,Male,Rural,Unemployed,4G,Jio,Prepaid,1401,12,1195,19.48,457,14,No,4,No,No,2797,72583,Debit Card,Tablet,1,No,No,No
106,31,Male,Urban,Student,5G,Airtel,Postpaid,259,6,2783,21.3,257,21,No,5,Yes,No,3803,16694,Net Banking,Smartphone,3,Yes,No,No
107,27,Female,Urban,Working Professional,5G,Jio,Prepaid,697,12,2605,12.05,472,27,No,4,No,Yes,1404,51625,Debit Card,Basic Phone,3,Yes,Yes,No
108,70,Female,Rural,Housewife,4G,Jio,Prepaid,696,24,2091,48.35,403,68,No,5,No,No,3098,74782,Net Banking,Tablet,2,No,No,No
109,32,Male,Urban,Student,5G,Airtel,Postpaid,1355,24,2104,7.75,43,33,No,3,Yes,Yes,3112,85157,UPI,Smartphone,1,No,No,No
110,31,Male,Urban,Working Professional,5G,Vodafone,Postpaid,1677,12,1828,39.06,459,17,No,3,Yes,Yes,1494,27739,UPI,Smartphone,2,Yes,No,No
111,26,Male,Urban,Working Professional,5G,Jio,Prepaid,1762,24,2601,16.65,243,91,No,4,Yes,No,4368,61573,Debit Card,Basic Phone,2,No,No,No
112,22,Male,Urban,Working Professional,5G,Jio,Postpaid,103,12,127,46.02,499,64,No,4,No,No,4259,70196,Net Banking,Basic Phone,3,Yes,Yes,Yes
113,27,Male,Urban,Student,5G,Jio,Postpaid,1862,24,1842,41.16,64,57,No,4,No,No,2960,17516,Credit Card,Basic Phone,2,No,Yes,No
114,31,Female,Urban,Unemployed,4G,Airtel,Postpaid,1744,24,828,29.16,140,44,No,3,No,No,2208,75174,UPI,Tablet,2,Yes,Yes,Yes
115,20,Male,Urban,Working Professional,5G,Airtel,Postpaid,1981,12,1601,19.36,330,75,No,4,Yes,Yes,4815,82533,Net Banking,Basic Phone,2,No,No,No
116,32,Female,Urban,Working Professional,4G,Airtel,Prepaid,1850,0,2971,27.87,65,61,No,4,No,Yes,1152,12273,UPI,Smartphone,3,No,No,No
117,30,Female,Urban,Working Professional,5G,Vodafone,Prepaid,328,0,1138,7.6,357,11,No,4,Yes,No,4695,62237,Net Banking,Smartphone,2,No,No,Yes
118,25,Female,Urban,Retired,4G,Airtel,Postpaid,1831,24,1910,3.51,198,42,No,4,Yes,Yes,3195,50006,Credit Card,Tablet,2,Yes,No,No
119,54,Female,Rural,Unemployed,4G,Vodafone,Prepaid,252,12,219,24.48,451,64,Yes,1,Yes,Yes,503,36491,Credit Card,Basic Phone,3,No,Yes,Yes
120,46,Female,Rural,Working Professional,4G,Airtel,Prepaid,457,24,2962,18.01,201,84,Yes,2,No,Yes,2045,28542,Credit Card,Tablet,3,Yes,Yes,Yes
121,57,Female,Rural,Unemployed,4G,Jio,Prepaid,499,24,1180,5.5,13,65,Yes,2,No,Yes,743,78938,Net Banking,Tablet,1,Yes,Yes,No
122,26,Male,Urban,Working Professional,5G,Jio,Postpaid,643,0,1220,7.5,10,79,No,5,No,Yes,4773,34127,Debit Card,Tablet,3,No,No,Yes
123,25,Female,Urban,Working Professional,4G,Jio,Postpaid,209,0,1502,23.53,72,71,No,5,No,No,4639,72752,Net Banking,Tablet,1,No,Yes,Yes
124,29,Female,Urban,Working Professional,4G,Jio,Postpaid,1772,24,2263,25.26,167,70,No,3,No,No,3927,13839,Credit Card,Tablet,2,Yes,Yes,Yes
125,33,Female,Urban,Working Professional,4G,Vodafone,Postpaid,565,12,241,45.0,94,63,No,4,No,Yes,681,60395,Net Banking,Tablet,1,No,No,No
126,42,Male,Rural,Working Professional,5G,Airtel,Prepaid,1167,0,1895,39.56,53,98,No,3,No,Yes,2485,69984,Debit Card,Basic Phone,2,No,Yes,Yes
127,67,Male,Rural,Working Professional,5G,Jio,Prepaid,900,12,1857,31.47,220,14,Yes,3,Yes,Yes,1671,45952,UPI,Tablet,2,Yes,No,No
128,49,Female,Rural,Student,5G,Vodafone,Prepaid,1149,12,199,2.79,17,8,No,3,No,Yes,377,77280,Net Banking,Tablet,2,Yes,No,Yes
129,59,Male,Rural,Working Professional,4G,Vodafone,Prepaid,1540,6,2717,24.95,377,64,No,5,No,No,1872,79508,UPI,Smartphone,2,No,Yes,Yes
130,43,Female,Rural,Working Professional,5G,Jio,Prepaid,742,0,2846,26.01,197,70,No,3,No,Yes,436,55338,Net Banking,Smartphone,1,No,No,Yes
131,31,Male,Urban,Student,5G,Vodafone,Postpaid,742,24,2508,13.47,396,94,No,4,No,Yes,2384,37029,UPI,Smartphone,3,Yes,No,No
132,36,Female,Rural,Unemployed,4G,Airtel,Prepaid,1690,6,1113,8.92,351,96,No,4,No,Yes,4831,24549,Credit Card,Tablet,1,No,Yes,No
133,63,Male,Rural,Unemployed,4G,Airtel,Prepaid,1778,24,2539,42.72,45,58,No,5,Yes,No,4039,51185,UPI,Smartphone,3,Yes,Yes,No
134,40,Female,Rural,Working Professional,4G,Vodafone,Prepaid,317,24,1894,28.35,241,49,Yes,1,No,Yes,3652,65702,UPI,Basic Phone,3,Yes,No,No
135,31,Female,Urban,Working Professional,5G,Jio,Prepaid,1667,0,1748,24.09,88,24,No,4,No,Yes,4997,66622,UPI,Basic Phone,1,Yes,No,Yes
136,54,Female,Rural,Unemployed,4G,Vodafone,Prepaid,1471,24,366,25.19,11,62,No,5,Yes,No,1621,74785,Net Banking,Basic Phone,1,Yes,No,Yes
137,67,Female,Rural,Working Professional,4G,Jio,Prepaid,799,6,2656,1.82,143,60,Yes,3,No,Yes,1727,41110,Debit Card,Tablet,3,Yes,Yes,Yes
138,30,Male,Urban,Unemployed,5G,Vodafone,Postpaid,561,12,1897,9.41,224,77,Yes,1,No,Yes,4453,8481,Credit Card,Tablet,2,Yes,No,Yes
139,33,Male,Urban,Unemployed,4G,Airtel,Prepaid,1300,12,2508,15.61,190,26,No,3,No,Yes,1011,20570,Debit Card,Tablet,3,No,Yes,No
140,34,Female,Urban,Working Professional,5G,Jio,Postpaid,1037,24,1264,2.93,423,63,No,5,Yes,Yes,851,99165,Credit Card,Tablet,3,Yes,No,No
141,62,Female,Rural,Working Professional,5G,Jio,Prepaid,1132,24,2336,19.94,383,20,No,4,Yes,No,3676,10666,Credit Card,Smartphone,2,Yes,Yes,No
142,61,Female,Rural,Housewife,4G,Airtel,Prepaid,840,24,1884,11.01,428,95,No,5,Yes,Yes,4246,37520,Net Banking,Tablet,2,No,No,No
143,43,Male,Rural,Unemployed,4G,Airtel,Postpaid,1582,12,2590,15.9,479,53,No,5,Yes,No,456,88447,Credit Card,Smartphone,3,No,No,No
144,46,Female,Rural,Working Professional,4G,Jio,Postpaid,395,24,264,31.13,428,92,Yes,3,No,Yes,2828,95702,UPI,Basic Phone,2,No,No,No
145,28,Female,Urban,Working Professional,5G,Jio,Postpaid,698,6,1471,38.22,187,81,Yes,2,Yes,No,2296,21512,Net Banking,Tablet,2,Yes,Yes,Yes
146,19,Female,Urban,Retired,4G,Vodafone,Prepaid,1452,6,2845,43.13,447,21,No,5,No,Yes,3090,94767,Debit Card,Smartphone,2,Yes,Yes,No
147,64,Male,Rural,Working Professional,4G,Vodafone,Prepaid,1895,6,535,48.5,188,81,No,5,No,Yes,2848,62146,Net Banking,Basic Phone,1,No,No,Yes
148,18,Female,Urban,Working Professional,5G,Airtel,Postpaid,1965,12,2845,40.27,388,19,No,3,Yes,No,1816,33297,Net Banking,Tablet,1,Yes,Yes,No
149,30,Female,Urban,Housewife,5G,Jio,Postpaid,1876,0,1685,10.84,152,85,No,3,No,Yes,4202,3101,Credit Card,Basic Phone,3,No,Yes,Yes
150,39,Male,Rural,Unemployed,4G,Jio,Prepaid,297,12,2255,12.05,160,16,Yes,1,Yes,Yes,2109,88717,Net Banking,Smartphone,2,No,Yes,Yes
151,27,Male,Urban,Working Professional,5G,Vodafone,Postpaid,1133,0,1784,28.6,112,10,No,4,No,No,3838,63781,Debit Card,Basic Phone,2,Yes,Yes,Yes
152,21,Male,Urban,Unemployed,5G,Airtel,Postpaid,530,24,405,37.32,169,63,No,5,No,No,2143,27191,Debit Card,Smartphone,2,Yes,Yes,Yes
153,23,Female,Urban,Working Professional,5G,Jio,Postpaid,1541,6,1018,40.97,316,99,No,3,No,Yes,231,73076,UPI,Tablet,2,No,No,No
154,20,Female,Urban,Housewife,5G,Vodafone,Prepaid,132,24,1888,9.42,76,23,No,4,Yes,Yes,3095,65219,Net Banking,Tablet,1,No,No,No
155,55,Male,Rural,Student,4G,Jio,Prepaid,957,24,683,13.17,483,88,No,3,Yes,Yes,775,88771,UPI,Tablet,3,No,No,Yes
156,62,Male,Rural,Student,4G,Jio,Prepaid,1581,6,1720,10.79,347,58,No,4,No,Yes,2699,4876,Debit Card,Basic Phone,2,No,Yes,Yes
157,31,Female,Urban,Working Professional,4G,Vodafone,Postpaid,1290,12,2366,44.84,167,24,No,3,Yes,No,2875,15566,Net Banking,Basic Phone,2,No,Yes,Yes
158,41,Female,Rural,Student,4G,Vodafone,Prepaid,605,6,963,19.65,285,15,No,3,No,Yes,3302,38244,Credit Card,Basic Phone,3,Yes,Yes,Yes
159,53,Female,Rural,Unemployed,5G,Vodafone,Prepaid,1986,24,1829,3.13,428,11,Yes,3,No,No,232,69620,Credit Card,Tablet,3,No,No,Yes
160,38,Male,Rural,Student,4G,Airtel,Postpaid,1250,24,1024,23.18,299,0,No,5,Yes,No,1995,3001,Credit Card,Smartphone,2,No,Yes,Yes
161,32,Female,Urban,Housewife,5G,Jio,Postpaid,1897,0,2811,46.23,393,7,No,5,No,Yes,1580,41693,Debit Card,Smartphone,2,No,Yes,Yes
